strain	county	state
1840-M70163	King	WA
1843-M73894	King	WA
1846-M74187	King	WA
1849-M73250	Multnomah	OR
1851-M73208	Multnomah	OR
1853-M74691	King	WA
1854-M74717	King	WA
1855-M74854	King	WA
1858-F85643	King	WA
1859-M74897	King	WA
1860-M74528	King	WA
1863-M73204	Chelan	WA
1864-M72023	Chelan	WA
1865-X73961	King	WA
1866-M69292	King	WA
1868-M71534	King	WA
1870-M75996	King	WA
1872-M76053	King	WA
1874-T77349	Snohomish	WA
18754-L1020627	King	WA
18760-F1027643	Pierce	WA
1877-T77036	King	WA
18772-H1027615	King	WA
18776-F1027639	Pierce	WA
1878-T76629	King	WA
1879-T75593	Whatcom	WA
1885-T77818	Deschutes	OR
1887-T77952	Deschutes	OR
1888-T78101	Kitsap	WA
1890-T78714	King	WA
1896-T75276	Pierce	WA
1904-M76307	King	WA
1907-X76100	Pierce	WA
1917-X76109	Pierce	WA
19193-T1024062	King	WA
1920-M76260	Pierce	WA
19246-F1035460	King	WA
19249-S1024043	King	WA
1925-T79663	Ada	ID
19250-S1023606	King	WA
19255-S1022705	King	WA
19258-S1026661	Thurston	WA
19260-S1026638	Thurston	WA
19262-S1026352	Thurston	WA
1928-T78771	King	WA
19291-H1045952	Yakima	WA
1930-T76855	King	WA
19329-H1042154	Pierce	WA
1934-T79694	Ada	ID
1935-T79138	Ada	ID
19358-S1025740	Spokane	WA
1937-T76725	Multnomah	OR
19374-L1039358	King	WA
19376-S1023659	Chelan	WA
1938-T78936	Ada	ID
19382-S1026944	Pierce	WA
19384-S1027036	Pierce	WA
19388-S1027060	Pierce	WA
1939-T79431	Ada	ID
19391-S1026917	Pierce	WA
19395-S1025070	King	WA
19404-L1040943	King	WA
19418-S1026703	Pierce	WA
19426-H1043878	Chelan	WA
1944-T80041	King	WA
19444-H1041520	Chelan	WA
19451-H1037277	Okanogan	WA
1946-M72979	King	WA
19463-F1039202	King	WA
1947-T81569	Kitsap	WA
1948-T76622	King	WA
19488-F1042863	Kitsap	WA
19507-F1038333	King	WA
19534-S1026298	Yakima	WA
19536-S1022543	King	WA
19539-T1026234	King	WA
1954-T81479	King	WA
19547-S1024561	Chelan	WA
1955-T78491	King	WA
1956-T78497	King	WA
1957-T78695	Ada	ID
1963-T81972	Skagit	WA
1965-T80286	King	WA
19661-S1027351	Spokane	WA
19676-X1017483	Pierce	WA
1968-T81568	Adams	WA
19681-S1027364	Spokane	WA
19692-S1026954	Pierce	WA
19695-X1017034	Pierce	WA
19700-S1027234	Pierce	WA
19721-L1040844	King	WA
1976-T82665	no container ID	no container ID
1977-T82235	Skagit	WA
1984-T82333	Island	WA
1994-T81474	King	WA
1997-T80666	King	WA
2006-T80905	Snohomish	WA
2008-W58638	King	WA
2022-M76564	Spokane	WA
20236-S1015379	Chelan	WA
20238-F1029954	Pierce	WA
20242-S1015212	King	WA
20245-H1030879	Pierce	WA
20246-H1030742	Pierce	WA
2029-T78757	King	WA
2032-M76554	Spokane	WA
2034-T82508	King	WA
2036-M76553	Spokane	WA
20397-W1037747	Adams	WA
20400-H1033572	King	WA
2041-T82574	Ada	ID
2045-T81655	Snohomish	WA
2047-T82490	Ada	ID
2053-T79859	King	WA
2059-T82511	King	WA
2062-T82659	Whatcom	WA
2066-W60000	King	WA
2071-W59782	Whatcom	WA
2072-W59592	Whatcom	WA
2074-W60367	King	WA
2076-W60700	King	WA
2082-T80057	King	WA
2086-W61119	King	WA
2087-W60213	King	WA
2091-M73728	King	WA
2099-H23124	no container ID	no container ID
2104-W61715	Kitsap	WA
2108-W61142	Pierce	WA
2109-W62959	King	WA
2115-W61410	King	WA
2119-W60973	King	WA
2129-W63124	King	WA
2131-T80184	King	WA
21398-L1047125	King	WA
21404-L1047383	King	WA
21405-M1043547	Spokane	WA
21409-T1038509	Chelan	WA
2145-W65115	Skagit	WA
21457-L1047857	King	WA
2146-W65244	Skagit	WA
21461-W1051043	Kitsap	WA
21547-T1037793	King	WA
21551-T1037155	King	WA
21554-L1045169	King	WA
21562-L1046310	King	WA
21576-L1045826	King	WA
2159-W66081	Ada	ID
21591-T1041821	Chelan	WA
21596-T1039184	Chelan	WA
21599-T1043924	Pierce	WA
2160-W65325	Ada	ID
21600-T1043926	Pierce	WA
21608-T1038311	Okanogan	WA
21628-T1045197	Pierce	WA
21644-W1052650	King	WA
21654-L1045093	King	WA
21658-M1038093	Chelan	WA
21659-M1037957	Chelan	WA
21660-M1041092	Chelan	WA
21667-M1038014	Spokane	WA
21673-M1037607	Chelan	WA
2169-M76455	Pierce	WA
21695-M1037936	Chelan	WA
21707-M1037997	Chelan	WA
21710-W1046025	King	WA
21712-W1047502	Chelan	WA
21717-W1054081	Pierce	WA
21720-W1054485	Pierce	WA
21721-H1051197	Pierce	WA
21723-W1054200	Pierce	WA
21726-W1054092	Pierce	WA
21727-W1053939	Pierce	WA
21728-H1050469	Pierce	WA
21732-W1054236	Pierce	WA
21734-W1054016	Pierce	WA
21735-W1053984	Pierce	WA
21736-W1054009	Pierce	WA
2174-W65738	Ada	ID
21742-W1054239	Pierce	WA
21746-W1053526	King	WA
21747-T1045438	Spokane	WA
21752-W1050358	Spokane	WA
21753-W1050308	Spokane	WA
21754-W1054444	King	WA
21755-W1053779	Bonneville	ID
21756-T1045445	Spokane	WA
21757-W1053513	King	WA
21759-W1053537	King	WA
2176-T83261	Pierce	WA
21760-H1049829	Deschutes	OR
21764-W1052777	King	WA
21771-W1052583	King	WA
21784-W1048960	Chelan	WA
21785-W1043573	Okanogan	WA
21786-W1046118	Okanogan	WA
21789-F1053822	King	WA
2179-T83055	Pierce	WA
2191-H74854	King	WA
2192-W62923	King	WA
2193-T83283	Pierce	WA
21960-H1056901	Spokane	WA
21961-L1053464	King	WA
21969-F1056290	King	WA
21978-L1053015	King	WA
2198-W65614	Ada	ID
21981-L1051983	King	WA
21982-L1053404	King	WA
21985-H1056915	Spokane	WA
21986-H1057311	Spokane	WA
21987-L1053489	King	WA
21988-F1053912	King	WA
21990-H1054045	Chelan	WA
21992-H1053953	Chelan	WA
21995-H1056862	Chelan	WA
21998-F1056269	King	WA
22003-F1055556	King	WA
22009-L1053672	King	WA
22016-L1052311	King	WA
22017-L1054046	King	WA
22020-L1053804	King	WA
22027-L1054000	King	WA
22028-L1053423	King	WA
2203-H74688	King	WA
22038-M1040658	Chelan	WA
22039-M1042467	Pierce	WA
22048-M1043147	Pierce	WA
22051-M1043183	Pierce	WA
22056-M1040612	Chelan	WA
22057-M1041054	Chelan	WA
22060-M1041050	Chelan	WA
22061-T1033325	King	WA
22077-M1044752	Pierce	WA
2208-W65936	King	WA
22080-M1043935	Pierce	WA
22090-T1044384	Pierce	WA
22094-M1043819	Spokane	WA
22096-M1043828	Spokane	WA
22103-M1043901	Pierce	WA
22105-L1046657	King	WA
22112-L1048813	King	WA
22117-H1055096	Okanogan	WA
22122-L1053412	King	WA
22124-H1056839	Chelan	WA
2213-W65799	Pierce	WA
22132-L1050867	King	WA
22137-H1055092	Okanogan	WA
2214-W65779	King	WA
22144-L1052427	King	WA
22148-H1049218	King	WA
22149-H1055107	Okanogan	WA
2215-W65760	King	WA
22151-H1051805	Chelan	WA
22152-W1054076	Pierce	WA
22155-H1054046	Chelan	WA
22157-L1050922	King	WA
22162-L1050418	King	WA
22172-L1052151	King	WA
22173-H1053713	Okanogan	WA
22175-L1049146	King	WA
22177-H1053824	Okanogan	WA
2218-W64849	Chelan	WA
22180-T1045426	Spokane	WA
22181-L1052723	King	WA
22182-W1054065	Yakima	WA
22184-H1054692	Chelan	WA
22186-H1056840	Chelan	WA
2219-W63831	King	WA
22190-H1054755	Okanogan	WA
2220-M76549	Pierce	WA
22201-M1035557	Chelan	WA
22204-M1036820	Chelan	WA
22205-X1020373	Spokane	WA
22207-L1044703	King	WA
22212-L1044460	King	WA
22216-L1044600	King	WA
22217-L1039322	King	WA
22228-X1021045	Pierce	WA
22230-L1040865	King	WA
22233-M1036588	Chelan	WA
22236-M1040798	Chelan	WA
22238-M1036656	Chelan	WA
22240-M1036543	Chelan	WA
22244-M1035615	King	WA
22247-L1040651	King	WA
22248-X1021062	Pierce	WA
2225-M76534	Pierce	WA
22253-M1040198	King	WA
22254-L1039386	King	WA
22256-M1036693	Chelan	WA
22258-M1035558	Chelan	WA
22270-X1021251	Pierce	WA
22271-M1035150	Pierce	WA
22273-L1040515	King	WA
22275-L1039377	King	WA
22276-F1056981	Deschutes	OR
22281-L1052353	King	WA
22286-L1053469	King	WA
22287-L1053632	King	WA
22293-L1053089	King	WA
22294-H1061363	Pierce	WA
22302-L1053999	King	WA
22306-L1052016	King	WA
22312-F1049014	Spokane	WA
22313-L1054572	King	WA
22316-L1053953	King	WA
22318-L1053601	King	WA
2232-W60751	Chelan	WA
22327-L1054428	King	WA
22328-L1054671	King	WA
22330-L1054587	King	WA
22331-L1053461	King	WA
22339-W1053806	Pierce	WA
2234-T83114	Pierce	WA
22343-F1060394	King	WA
22346-F1060253	King	WA
22348-F1060015	King	WA
22349-H1060344	King	WA
2235-T83281	Pierce	WA
22353-F1060421	King	WA
22358-F1061314	Pierce	WA
22360-H1062071	Pierce	WA
22363-L1059603	King	WA
22365-L1059348	King	WA
22370-L1058034	King	WA
22375-L1055631	King	WA
22376-L1057214	King	WA
22382-L1059292	King	WA
22389-S1032796	Chelan	WA
22398-L1054944	King	WA
22399-L1054663	King	WA
22405-F1061872	Grant	WA
22407-L1057081	King	WA
22409-L1057229	King	WA
22412-S1032737	Chelan	WA
22415-L1054420	King	WA
22416-S1034680	Deschutes	OR
22418-F1061426	Pierce	WA
22419-F1061414	Pierce	WA
22422-L1054412	King	WA
22423-L1057931	King	WA
22426-F1061583	King	WA
22429-F1061049	Pierce	WA
22431-F1059346	Pierce	WA
22432-F1061413	Pierce	WA
22436-H1062013	Pierce	WA
22438-L1051143	King	WA
22440-W1050999	King	WA
22444-L1051112	King	WA
22445-L1049974	King	WA
22446-W1047914	Deschutes	OR
22447-H1054526	Kitsap	WA
22449-L1050283	King	WA
2245-W63932	Thurston	WA
22451-W1051472	King	WA
22452-W1049014	Deschutes	OR
22454-L1050111	King	WA
22458-W1051635	King	WA
22460-L1051347	King	WA
22468-L1049746	King	WA
22476-L1050070	King	WA
22482-W1047536	Deschutes	OR
22485-T1045050	Pierce	WA
2249-T82787	Spokane	WA
22491-W1047465	Chelan	WA
22493-T1045682	Spokane	WA
22495-W1045879	Chelan	WA
2250-T82842	Spokane	WA
22502-W1042708	King	WA
22505-W1047328	Adams	WA
22514-T1045203	Pierce	WA
22517-T1044954	Pierce	WA
22521-W1051053	King	WA
22535-W1047849	King	WA
22537-W1048365	Adams	WA
2255-W66517	Kootenai	ID
2268-M84478	King	WA
22720-F1059333	Pierce	WA
22723-F1061516	King	WA
22731-F1060592	Pierce	WA
22735-F1061676	King	WA
22746-F1052641	Chelan	WA
22747-L1056413	King	WA
22748-F1052227	Chelan	WA
22751-L1055331	King	WA
22752-F1052097	Chelan	WA
22753-F1052095	Chelan	WA
22755-F1052226	Chelan	WA
22756-H1061353	Pierce	WA
22757-F1061216	King	WA
22758-H1061824	Spokane	WA
22762-H1061904	Spokane	WA
22769-F1050260	Okanogan	WA
22774-H1061057	Chelan	WA
2278-H27426	Pierce	WA
22782-F1054625	Chelan	WA
22784-H1061776	Spokane	WA
22791-F1055361	Spokane	WA
2280-M81172	Chelan	WA
22804-T1042529	King	WA
22809-T1038750	King	WA
22817-W1044025	King	WA
22827-W1053092	Pierce	WA
22835-W1047900	Chelan	WA
22839-W1049408	Chelan	WA
22847-W1053235	King	WA
22848-W1053183	King	WA
22851-W1049115	Chelan	WA
22852-W1044471	Okanogan	WA
22854-W1053429	Thurston	WA
22855-W1048927	Chelan	WA
22859-W1049784	Spokane	WA
22864-W1050646	Chelan	WA
22867-W1052295	Pierce	WA
22871-H1054819	Deschutes	OR
22885-H1050577	King	WA
22892-H1059846	King	WA
22897-H1060621	Pierce	WA
22899-H1059544	Pierce	WA
22900-H1059541	Pierce	WA
22903-H1052453	King	WA
22918-T1055769	Deschutes	OR
22920-T1057436	King	WA
22922-T1058507	Kitsap	WA
22927-X1028793	Pierce	WA
22938-M1051760	Chelan	WA
22948-M1056794	Chelan	WA
22951-M1050974	Chelan	WA
22952-L1060273	King	WA
22963-L1060136	King	WA
22972-T1053057	King	WA
22978-M1058022	King	WA
22981-M1051678	Okanogan	WA
22990-M1055851	Chelan	WA
22993-X1028460	Pierce	WA
22994-X1028653	Pierce	WA
22996-X1028473	Pierce	WA
22998-S1036477	Pierce	WA
23004-M1056795	Chelan	WA
2304-M82870	King	WA
2305-M82892	King	WA
23124-S1032594	King	WA
23126-S1030081	King	WA
23130-S1029913	Pierce	WA
23152-M1034507	Okanogan	WA
23164-M1039447	Chelan	WA
23166-M1039479	Chelan	WA
2317-M84473	King	WA
23175-H1059672	Pierce	WA
23184-H1057501	Chelan	WA
23193-H1057112	Spokane	WA
23194-W1052972	Spokane	WA
23196-H1053768	Chelan	WA
2320-M84574	King	WA
23200-H1054663	Chelan	WA
23206-F1053006	King	WA
23210-H1061106	Chelan	WA
23213-F1055893	King	WA
23234-F1051415	King	WA
23235-F1051457	King	WA
23237-H1061729	Pierce	WA
23245-F1055410	King	WA
23252-F1057299	Chelan	WA
23257-F1054162	Chelan	WA
23266-F1055964	Chelan	WA
23276-F1056043	Chelan	WA
23277-L1056089	King	WA
23278-L1056630	King	WA
23283-F1060325	King	WA
23293-F1053238	Okanogan	WA
23297-F1060476	King	WA
23299-H1061377	Pierce	WA
23302-F1056007	Chelan	WA
23305-L1056614	King	WA
23308-H1061374	Pierce	WA
23312-F1056855	Chelan	WA
23313-F1056939	Chelan	WA
23330-X1025218	Pierce	WA
23335-S1034059	King	WA
23339-S1035430	Deschutes	OR
23340-F1061093	Pierce	WA
23342-F1059521	King	WA
23349-M1036065	Okanogan	WA
23355-S1032646	Chelan	WA
23360-M1039344	Chelan	WA
23365-X1021135	Pierce	WA
23371-M1059831	Pierce	WA
23376-X1028853	Spokane	WA
23378-X1028851	Spokane	WA
23379-M1052528	Chelan	WA
23380-M1052531	Chelan	WA
23384-L1062642	King	WA
23389-L1061731	King	WA
23390-T1052404	King	WA
23391-T1049790	Pierce	WA
23394-T1051454	King	WA
23397-M1055952	Chelan	WA
23400-M1059210	Pierce	WA
23406-M1055657	Chelan	WA
23410-L1062723	King	WA
23414-X1028852	Spokane	WA
23415-M1059178	Pierce	WA
23422-M1055991	Chelan	WA
23423-X1028891	Spokane	WA
23426-M1055988	Chelan	WA
23429-M1055186	Chelan	WA
23430-M1056202	Spokane	WA
23431-T1059598	Thurston	WA
2344-X13498	Pierce	WA
23445-M1059863	Pierce	WA
23461-M1060075	Pierce	WA
23464-M1059781	Pierce	WA
23467-L1063495	King	WA
23468-L1066396	King	WA
23476-L1066607	King	WA
23477-M1060367	Pierce	WA
23481-L1065345	King	WA
23483-M1060458	Pierce	WA
23487-L1066526	King	WA
23488-T1052895	Chelan	WA
23489-T1052900	Chelan	WA
23490-T1052861	Chelan	WA
23498-T1054281	Chelan	WA
23501-T1056521	Chelan	WA
23510-T1056564	Chelan	WA
23511-T1056606	Chelan	WA
23526-L1061816	King	WA
23530-M1060095	Pierce	WA
23531-W1065195	Chelan	WA
23533-W1065192	Chelan	WA
23538-W1065405	Chelan	WA
23549-W1064623	Deschutes	OR
23555-T1051618	Okanogan	WA
23556-T1052248	Okanogan	WA
23562-L1063423	King	WA
23564-L1066414	King	WA
23566-L1065869	King	WA
23571-L1062965	King	WA
23576-M1059751	Pierce	WA
23579-T1051693	King	WA
23582-M1059931	Pierce	WA
23594-T1059240	Jefferson	WA
23596-L1067608	King	WA
23597-M1059853	Pierce	WA
23600-T1051911	King	WA
23606-L1063494	King	WA
2369-T85064	Pierce	WA
23691-S1036034	Pierce	WA
2374-M85709	Pierce	WA
23752-M1054338	King	WA
23756-X1028771	Pierce	WA
23782-F1070238	Chelan	WA
23804-F1069068	Okanogan	WA
2386-M85770	Pierce	WA
24020-H1067156	King	WA
2414-S42511	Chelan	WA
24191-F1075871	Thurston	WA
2425-T86670	Twin Falls	ID
2428-X14755	King	WA
2430-X14713	King	WA
24322-F1072941	King	WA
2435-T86817	Fairfield	CT
24373-S1043197	King	WA
24378-S1042936	Deschutes	OR
2441-T86875	Fairfield	CT
24556-L1081639	King	WA
24557-L1081020	King	WA
2462-T87465	Fairfield	CT
2465-T87516	Fairfield	CT
2466-T87526	Fairfield	CT
2469-T87546	Fairfield	CT
2473-T87641	Fairfield	CT
24736-X1034409	King	WA
2475-T87671	Fairfield	CT
24775-H1069216	Chelan	WA
24785-H1071585	King	WA
24786-H1069217	Chelan	WA
24787-H1071236	Chelan	WA
24793-H1066079	King	WA
24798-H1069054	Chelan	WA
2480-T88001	Ada	ID
24802-H1072955	King	WA
24809-W1068464	King	WA
24839-W1064137	Chelan	WA
2487-T88307	Fairfield	CT
24887-M1053618	King	WA
24890-M1055704	King	WA
24891-M1052862	King	WA
24901-T1058981	Pierce	WA
24906-T1055394	Chelan	WA
24908-T1056821	Chelan	WA
24910-T1059379	King	WA
24920-W1059785	King	WA
24925-W1060794	King	WA
24928-W1066090	King	WA
24930-W1066677	King	WA
24935-T1059406	Pierce	WA
24937-M1060325	Spokane	WA
24941-T1059401	Pierce	WA
24943-W1068246	Thurston	WA
24946-T1059089	Pierce	WA
24954-H1065091	King	WA
24958-L1067253	King	WA
2526-M80234	King	WA
2532-M80025	King	WA
2540-F10609	King	WA
2541-M80121	King	WA
2551-M80207	King	WA
2565-M79182	King	WA
2566-M79378	King	WA
2572-M77792	Kitsap	WA
2595-X81015	Pierce	WA
2599-X81030	Pierce	WA
2603-X81051	Pierce	WA
2606-M80279	King	WA
2608-X81063	Snohomish	WA
2609-X81068	Snohomish	WA
2618-M80245	King	WA
26488-M1093875	King	WA
26489-T1102502	King	WA
26490-T1097680	King	WA
26491-M1101110	King	WA
26493-M1103606	King	WA
26495-T1099221	King	WA
2651-M81778	Kitsap	WA
2663-X81111	Kitsap	WA
2665-M82168	King	WA
267-T51581	King	WA
2670-M82290	King	WA
2674-M82387	Fairfield	CT
2676-M82456	Fairfield	CT
2679-W15112	King	WA
26846-T1103302	King	WA
26847-T1096502	King	WA
26848-T1096678	King	WA
26849-T1093743	King	WA
26850-T1095974	King	WA
26851-T1096167	King	WA
26852-W1103656	King	WA
26853-W1102635	King	WA
26854-W1102620	King	WA
26855-T1096777	King	WA
26856-T1096088	King	WA
26857-T1102500	King	WA
26858-T1097037	King	WA
26859-T1097101	King	WA
26860-T1095855	King	WA
26861-T1097814	King	WA
26862-T1097080	King	WA
26863-T1097708	King	WA
26864-H1110645	King	WA
26865-W1112543	King	WA
26866-W1102693	King	WA
26867-W1106363	King	WA
26868-W1103184	King	WA
26869-M1097280	King	WA
2700-W17634	King	WA
27030-M1108936	King	WA
27031-M1107894	Pierce	WA
27032-M1107832	Pierce	WA
27033-M1107845	Pierce	WA
27034-M1107810	King	WA
27035-X1058152	King	WA
27038-X1056870	King	WA
27042-F1119599	King	WA
27043-F1119598	King	WA
27044-F1119600	King	WA
27045-F1118227	King	WA
27046-F1118666	Grays Harbor	WA
2725-M84645	King	WA
2729-W14390	King	WA
2730-M84722	King	WA
2736-W19168	King	WA
2737-W18886	King	WA
2743-W91919	King	WA
2744-W90111	King	WA
27496-H1116168	King	WA
27497-H1114264	King	WA
27498-H1113205	King	WA
27499-W1107181	King	WA
27500-H1114771	King	WA
27501-H1122733	King	WA
27502-M1110296	King	WA
2767-F13106	Pierce	WA
2778-S23252	King	WA
2780-W93033	King	WA
2781-X79419	King	WA
2795-W90941	King	WA
2814-W91499	no container ID	no container ID
2816-F13114	Pierce	WA
2818-F13117	Pierce	WA
2820-W93927	no container ID	no container ID
2834-W91475	no container ID	no container ID
2837-W91300	no container ID	no container ID
2849-W91462	no container ID	no container ID
2862-X78957	King	WA
2868-W91437	no container ID	no container ID
2872-X79239	King	WA
2877-X79382	King	WA
2890-W94343	no container ID	no container ID
2910-X80136	Snohomish	WA
2916-X80356	King	WA
2929-X80903	Skagit	WA
2937-X78097	King	WA
2940-S22720	King	WA
2943-H83384	Pierce	WA
2960-H83336	Pierce	WA
2961-H83369	Pierce	WA
2964-H83388	Pierce	WA
2971-F93619	Snohomish	WA
2976-H83506	King	WA
2980-F94447	Snohomish	WA
2982-F94710	King	WA
2983-F94773	Snohomish	WA
2986-F94828	King	WA
2987-F10027	Spokane	WA
29895-X1085810	King	WA
29896-F1168406	King	WA
29897-S1102782	King	WA
29898-S1104696	King	WA
29899-F1175256	King	WA
29900-S1103623	King	WA
2997-F11282	King	WA
3001-F11796	Snohomish	WA
3002-F11797	Snohomish	WA
3007-F11889	Snohomish	WA
3008-F12014	King	WA
3009-F12040	King	WA
3012-F12088	King	WA
3024-F12754	King	WA
3026-F12761	King	WA
3030-F12782	Island	WA
3036-F12833	Ada	ID
3041-F12864	Island	WA
3046-F12867	Island	WA
3048-F12869	Island	WA
3052-S20126	Island	WA
3060-S20199	Island	WA
3078-S20916	King	WA
3094-S21455	Fairfield	CT
3100-S21488	Fairfield	CT
3108-S21559	Fairfield	CT
3109-S21557	Fairfield	CT
