strain	state	county
3114-S21604	CT	Fairfield
3118-S21632	CT	Fairfield
3119-S21636	CT	Fairfield
3120-S21647	CT	Fairfield
3123-S21660	CT	Fairfield
3125-S21668	CT	Fairfield
3127-S21696	CT	Fairfield
3129-S21729	CT	Fairfield
3140-S21832	CT	Fairfield
3141-S21834	WA	King
3146-H24927	no container ID	no container ID
3158-S22580	WA	King
3167-S22625	WA	Snohomish
3172-S22872	ID	Ada
3177-S22996	WA	Snohomish
3183-S22994	ID	Ada
3186-S23021	WA	Snohomish
3188-S23087	WA	Clark
3202-S23329	Unknown	Unknown
3247-S24801	WA	Skagit
3259-F94984	WA	King
3265-F94306	WA	King
3269-F94625	WA	King
3336-H83071	WA	King
3369-F92873	WA	King
3413-F10594	WA	Adams
3416-F10973	ID	Ada
3417-F11020	CT	Fairfield
3425-F11192	CT	Fairfield
3450-F11502	CT	Fairfield
3465-F11577	CT	Fairfield
3470-F11615	CT	Fairfield
3493-F12535	WA	King
3497-F12573	WA	King
3500-F12618	WA	King
3515-H80224	WA	King
3519-H74342	WA	King
3521-H80961	WA	King
3529-H75738	WA	King
3539-H79056	WA	King
3560-W61610	WA	Snohomish
3570-T83322	WA	Pierce
3584-W65945	WA	Snohomish
3592-T43455	WA	King
3607-W66823	WA	Island
3611-W66830	WA	Pierce
3613-T43253	WA	King
3616-T44345	WA	King
3630-W21797	WA	Pierce
3632-W66969	WA	Pierce
3634-H77398	WA	Skagit
3662-H79132	WA	Skagit
3685-M39131	WA	Pierce
3692-H81024	CT	Fairfield
3783-W23111	WA	King
3809-H81303	WA	King
3810-H81039	WA	King
3812-H83101	WA	King
3814-H83086	WA	King
3815-F92487	WA	King
3816-F92639	WA	King
3826-H81516	WA	Snohomish
3827-H82982	WA	King
3828-W67119	WA	Pierce
3829-W66981	WA	Pierce
3832-F92567	WA	King
3833-H81049	WA	King
3834-H81618	WA	Snohomish
3838-F90802	WA	Pierce
3839-H82123	WA	Snohomish
3841-H81075	WA	King
3843-F90577	WA	King
3844-W67147	WA	Pierce
3845-H81233	CT	Fairfield
3849-H80932	WA	King
3850-H81079	WA	King
3853-H82867	WA	King
3855-H81823	WA	Snohomish
3858-H80088	WA	King
3862-H79351	WA	King
3868-H81066	WA	King
3871-H82935	WA	Pierce
3874-H82519	ID	Kootenai
3878-H81490	WA	King
3880-H79276	WA	King
3881-W67112	WA	Pierce
3883-F93162	WA	King
3889-F11611	WA	King
3892-F10685	ID	Ada
3895-F10987	WA	King
3899-F92993	WA	King
3900-F10885	WA	King
3903-F12031	WA	King
3904-F11491	WA	King
3908-F11503	WA	King
3911-F11629	WA	Snohomish
3917-F11341	WA	King
3918-F11351	WA	King
3923-F12562	WA	Skagit
393-W41899	WA	King
3932-F12772	WA	King
3935-F12551	WA	Skagit
3939-S20142	WA	King
3940-S20127	WA	Snohomish
3941-S20735	WA	King
3942-S20171	WA	King
3946-S20307	WA	King
3949-S21045	WA	King
3950-S20785	WA	Whatcom
3951-S20999	WA	King
3954-S21189	WA	King
3959-S20645	WA	Whatcom
3963-M85263	WA	King
3964-T90437	WA	King
3969-T91259	WA	Pierce
3972-X80051	Unknown	Unknown
3973-X79867	WA	King
3975-X79533	WA	King
3979-X78434	WA	King
3982-X79282	WA	King
3983-X79316	WA	King
3985-X78255	WA	King
3988-X77869	WA	King
3989-S25004	WA	Snohomish
3990-X78961	WA	Snohomish
3992-X80301	WA	King
3994-S25053	WA	King
3996-S25050	WA	King
3997-X80287	WA	King
4004-S25020	WA	Snohomish
4009-X80738	WA	Snohomish
4011-X80842	WA	King
4014-S24988	WA	Pierce
4015-S24912	WA	Pierce
4019-M77846	WA	King
4021-X80959	WA	Skagit
4024-M77806	WA	King
4025-M77794	WA	King
4026-X80949	WA	King
4031-X80508	WA	King
4032-X77912	WA	King
4035-S24914	WA	Pierce
4038-M78339	WA	Pierce
4039-X80100	WA	Spokane
4041-M77795	WA	King
4046-S24968	WA	Pierce
4051-W72127	WA	King
4052-W75706	WA	King
4058-W74559	WA	King
4061-W75495	WA	King
4065-W74919	WA	King
4067-W74629	WA	King
4068-W74491	WA	King
4082-T88604	WA	King
4089-W70190	WA	King
4097-W70012	WA	King
4100-T91955	ID	Ada
4105-T93126	WA	King
4109-T92875	WA	Skagit
4111-T92847	WA	Skagit
4114-T92712	WA	King
4117-T92904	WA	King
4118-T92906	WA	King
4127-W68505	WA	King
4130-T92908	WA	King
4180-W70075	WA	King
4188-T87076	WA	King
4197-T92841	WA	Snohomish
4210-T90070	WA	King
4213-T90095	WA	King
4217-T91294	WA	King
4221-T91993	WA	King
4224-T92114	WA	King
4225-T92165	WA	King
4226-T92175	WA	King
4227-T92306	WA	Snohomish
4228-T92391	WA	King
4237-W72162	CT	Fairfield
4238-W72190	CT	Fairfield
4239-W72198	ID	Ada
4243-W72343	WA	King
4244-W72378	CT	Fairfield
4250-W72747	ID	Ada
4251-W72881	CT	Fairfield
4254-W73922	ID	Ada
4255-W73933	ID	Ada
4266-W69553	ID	Twin Falls
4270-T92998	WA	Pierce
4279-T93067	WA	Pierce
4281-T93077	WA	Pierce
4289-T93112	WA	Pierce
4290-T93113	WA	Pierce
4291-T93114	WA	Pierce
4292-T93115	WA	Pierce
4296-T93131	WA	Pierce
4300-W70781	OR	Deschutes
4303-T93156	WA	Pierce
4307-W71430	ID	Ada
4308-W71467	ID	Ada
4315-T90617	WA	King
4316-T90349	WA	King
4317-S22932	WA	King
4318-T87888	WA	San Juan
4324-M85971	WA	King
4325-T85880	WA	King
4326-T90370	WA	King
4329-X81187	WA	Pierce
4330-T89177	WA	King
4331-M86056	WA	Pierce
4335-M85511	WA	King
4337-M85939	WA	King
4338-M85941	WA	King
4340-M85979	WA	King
4341-T86862	CT	Fairfield
4343-T86956	CT	Fairfield
4344-T86991	CT	Fairfield
4345-T87029	CT	Fairfield
4346-T87052	CT	Fairfield
4347-T87078	CT	Fairfield
4348-T87129	CT	Fairfield
4354-T87379	ID	Ada
4355-T87398	ID	Ada
4357-T87416	ID	Ada
4366-T88157	CT	Fairfield
4370-T88217	WA	King
4372-T88241	CT	Fairfield
4375-T88308	ID	Ada
4376-T88352	ID	Ada
4380-T88725	ID	Ada
4383-T88874	ID	Twin Falls
4388-T89140	OR	Deschutes
4396-T89252	ID	Twin Falls
4400-T89291	ID	Ada
4402-T89419	ID	Ada
4404-M86092	WA	Pierce
4406-T89578	WA	King
4407-T90457	WA	King
4409-T89625	OR	Deschutes
4410-T89672	OR	Deschutes
4413-T89822	WA	King
4414-T89846	WA	King
4417-T89996	ID	Ada
4418-T90043	ID	Ada
4424-T90459	ID	Ada
4427-T90625	ID	Ada
4433-T90805	ID	Ada
4434-S53892	WA	King
4448-T91225	ID	Ada
4461-T91486	ID	Ada
4462-T91496	ID	Ada
4486-T92132	ID	Ada
4499-T90317	WA	King
4500-T90510	WA	King
4538-X79831	WA	King
4541-X78049	WA	Pierce
4543-X78827	WA	Pierce
4545-X79544	WA	King
4546-T90923	WA	Pierce
4547-T91415	ID	Ada
4549-T91160	WA	Skagit
4550-T91006	ID	Ada
4552-T91080	ID	Ada
4555-T90928	WA	Skagit
4562-T85427	WA	Skagit
4563-M84999	WA	Snohomish
4564-T85435	WA	Skagit
4565-M82407	WA	Snohomish
4568-X81153	WA	King
4569-T92728	WA	Snohomish
4570-T86290	WA	King
4572-T86839	WA	King
4578-T92899	WA	King
4579-T91084	WA	King
4580-T90357	WA	King
4581-T92711	WA	Snohomish
4582-T92425	WA	King
4583-W68410	WA	King
4585-T91448	WA	King
4588-T90451	WA	King
4589-W68497	WA	King
4591-T90950	WA	King
4592-T92364	WA	King
4593-T91658	WA	King
4594-T91625	WA	King
4595-T92163	ID	Ada
4597-T91384	ID	Ada
4598-T91365	ID	Ada
4599-X81131	WA	King
4600-T91055	ID	Ada
4601-T91468	ID	Ada
4602-T91838	WA	King
4603-T91777	WA	King
4608-H81601	WA	Island
4609-H81711	WA	Island
4611-H82405	WA	King
4612-H82431	WA	King
4614-H76465	WA	King
4615-H79208	WA	King
4616-H79685	WA	King
4617-H81659	WA	King
4618-X77937	WA	King
4619-X76739	WA	King
4620-X77561	WA	King
4623-X77331	WA	King
4627-X78472	WA	King
4630-X79782	WA	Skagit
4632-X79126	WA	King
4633-X79558	WA	King
4640-X79847	WA	King
4643-M90823	WA	King
4646-M89088	WA	King
4649-M92879	WA	King
4657-M92080	WA	King
4659-M92830	WA	King
4660-M92682	WA	King
4663-M92760	WA	King
4664-M93420	WA	King
4676-M87960	WA	Pierce
4677-M87886	WA	Pierce
4678-M87933	WA	King
4682-M89348	WA	King
4684-M89275	WA	King
4688-F17184	WA	King
4690-M90283	WA	King
4698-M90228	WA	King
4703-M78246	WA	King
4705-M93707	WA	King
4707-M93644	WA	King
4725-M94856	WA	King
4726-T11096	WA	King
4727-T11187	WA	King
4730-M94271	WA	Snohomish
4732-X80208	WA	Spokane
4734-S22197	WA	King
4740-F10442	WA	King
4741-W64843	WA	King
4744-F12081	WA	King
4746-F10435	WA	King
4747-S20773	WA	King
4748-S23126	WA	King
4749-S22838	WA	King
4752-S23666	WA	King
4754-S24158	WA	Snohomish
4755-S24179	WA	Snohomish
4757-S23404	WA	King
4758-S23660	WA	King
4759-S23768	WA	King
4760-S23839	WA	King
4763-F13129	WA	Pierce
4765-S21227	WA	King
4766-S22505	WA	King
4769-F13038	WA	Pierce
4770-F12980	WA	Pierce
4776-F13160	WA	Spokane
4777-F12987	WA	Pierce
4779-X77961	WA	King
4892-T17290	WA	King
4897-W79434	WA	King
4917-T18162	WA	King
4921-T19623	WA	King
4931-W77727	WA	King
4999-T17160	WA	Spokane
5011-T19903	WA	Pierce
5016-T15781	WA	King
5025-T18479	WA	King
5026-T17857	WA	King
5034-W83849	no container ID	no container ID
5036-W80340	CT	Fairfield
5038-W81523	CT	Fairfield
5043-W81521	CT	Fairfield
506-W45770	WA	King
5065-W82601	WA	King
5073-W80664	CT	Fairfield
5086-W80615	CT	Fairfield
5095-W77468	WA	King
5104-T15524	CT	Fairfield
5136-W75983	WA	Spokane
5144-H92466	WA	King
5152-H92483	WA	King
5158-H91238	WA	King
5161-H91221	WA	King
5164-H91130	WA	King
5166-H91189	WA	King
5169-H91387	WA	King
5170-H91083	WA	King
5172-H89657	WA	King
5177-H85006	WA	Pierce
5178-H84987	WA	King
5181-H87641	WA	King
5182-H90262	WA	King
5184-H83652	WA	King
5189-W76497	WA	Pierce
5190-W76490	WA	Pierce
5192-H87720	WA	King
5194-H86776	WA	King
5201-W73713	WA	King
5203-H90396	WA	King
5205-H90297	WA	King
5231-H11785	no container ID	no container ID
524-H62246	WA	King
5251-H12723	no container ID	no container ID
5255-W84660	no container ID	no container ID
5358-X82516	WA	King
5359-X82961	WA	King
5361-X84169	WA	King
5364-X83618	WA	King
5369-X83477	WA	King
5371-X84227	WA	King
5382-X82996	WA	King
5388-X83973	WA	King
5397-X85236	WA	Snohomish
5400-X84279	WA	Pierce
5403-H81645	WA	King
5428-H82244	WA	Snohomish
5429-H76473	WA	King
5455-W64062	WA	King
5595-W81212	CT	Fairfield
5596-W81011	CT	Fairfield
5599-W81156	CT	Fairfield
5606-W80777	WA	King
5617-W83916	WA	King
5620-W83805	no container ID	no container ID
5622-W84731	no container ID	no container ID
5629-W83850	WA	King
5670-H18089	WA	King
5687-H17106	no container ID	no container ID
5714-M92017	WA	Snohomish
5717-T11249	WA	Snohomish
5731-T11555	WA	Grays Harbor
5732-T11396	WA	King
5737-T11243	WA	King
5738-T12085	WA	Pierce
5746-T13293	WA	King
5747-T13692	WA	King
5749-T15241	CT	Fairfield
5750-M10124	WA	Pierce
5754-T15344	CT	Fairfield
5756-T13406	WA	King
5763-T15444	CT	Fairfield
5764-T14956	CT	Fairfield
5765-T15163	CT	Fairfield
5770-T15423	CT	Fairfield
5772-T14740	CT	Fairfield
5773-T14602	CT	Fairfield
5775-T14138	CT	Fairfield
5776-T14628	WA	King
5780-M10177	WA	Pierce
5781-M10168	WA	Pierce
5812-T88040	WA	King
5847-T88421	WA	King
5860-T90452	WA	King
5879-T20001	WA	Pierce
5884-T19989	WA	Pierce
5888-T18554	ID	Twin Falls
5911-T15996	WA	Chelan
5932-T17068	WA	King
5947-T19218	WA	Skagit
6162-W71077	WA	King
6164-W75256	WA	King
6170-W75912	WA	King
6178-W73912	WA	King
6179-W70896	WA	King
6181-W74380	WA	King
6183-W75595	WA	King
6184-W75432	WA	King
6185-W75027	WA	King
6186-W75531	WA	King
6187-W75054	WA	King
6190-W73756	WA	King
6204-W74317	WA	Snohomish
6211-W76536	WA	Pierce
6213-W73545	WA	Snohomish
6219-W76605	WA	Pierce
6222-H88115	ID	Ada
6238-W76699	WA	King
6240-W76322	WA	King
6241-W76334	WA	King
6242-H87868	WA	King
6243-H88791	WA	King
6244-H87897	WA	King
6245-H89103	CT	Fairfield
6251-H89794	CT	Fairfield
6259-H90039	CT	Fairfield
6270-H89460	CT	Fairfield
6271-H89383	CT	Fairfield
6273-H89296	CT	Fairfield
6274-H89423	CT	Fairfield
6288-H89625	CT	Fairfield
6302-H90797	WA	Skagit
6314-H90709	CT	Fairfield
6315-H91720	WA	King
6321-H89914	WA	King
6327-H91490	WA	Snohomish
6331-W76729	WA	Snohomish
6335-H92829	WA	Pierce
6339-H92732	WA	Pierce
6343-H92865	WA	Pierce
6348-F18169	ID	Ada
6349-F17926	ID	Ada
6350-F17880	ID	Ada
6351-H92719	WA	Pierce
6353-H92714	WA	Pierce
6356-F15620	WA	King
6361-F18317	CT	Fairfield
6362-F18085	CT	Fairfield
6365-F17786	ID	Ada
6367-F19093	ID	Ada
6369-F18838	CT	Fairfield
6377-F18089	ID	Ada
6379-F18486	CT	Fairfield
6380-F17628	CT	Fairfield
6383-F19607	ID	Ada
6385-F18337	CT	Fairfield
6389-F19503	WA	King
6399-F19382	WA	King
6400-F21440	WA	King
6403-F21329	WA	Snohomish
6404-F21363	WA	King
6406-F21437	WA	King
6408-F21353	WA	King
6410-F21315	WA	King
6413-F21394	WA	King
6417-F18055	WA	King
6424-F20253	WA	Snohomish
6438-F21380	WA	Snohomish
6439-F18736	WA	King
6441-F18720	WA	King
6442-F21375	WA	Snohomish
6446-F20163	ID	Ada
6448-F20215	ID	Ada
6453-S27551	ID	Ada
6454-S27669	ID	Ada
6455-S27570	ID	Twin Falls
6457-S28374	ID	Twin Falls
6461-S28854	ID	Ada
6463-S28064	ID	Ada
6464-S28336	ID	Ada
6466-S29433	ID	Twin Falls
6467-S29442	ID	Twin Falls
6468-S28997	ID	Ada
6469-S28855	ID	Ada
6470-S28162	ID	Twin Falls
6472-S28476	ID	Ada
6473-S29341	ID	Twin Falls
6478-X83256	WA	King
6480-F22226	WA	Pierce
6481-F22291	WA	Pierce
6483-S30863	WA	Snohomish
6484-X84689	WA	Skagit
6485-X84628	WA	Skagit
6486-X83589	WA	Kitsap
6496-F22301	WA	Pierce
6497-F22248	WA	Pierce
650-F78537	CT	Fairfield
6501-F22249	WA	Pierce
6502-F22261	WA	Pierce
6504-X83603	WA	King
6507-S30866	WA	Snohomish
6511-S30727	WA	Pierce
6514-S30721	WA	Pierce
6516-S30853	WA	Pierce
6520-S30803	WA	Pierce
6525-S30820	WA	Pierce
6526-X84203	WA	Chelan
6527-X84299	WA	Chelan
6528-X83882	WA	Chelan
6535-S30782	WA	Pierce
6543-S30768	WA	Pierce
6546-S30833	WA	Pierce
6547-S30754	WA	Pierce
6548-S30825	WA	Pierce
6550-F22521	WA	Spokane
6559-X85636	WA	Pierce
6560-X85632	WA	Pierce
6562-X85660	WA	Pierce
6563-M90219	CT	Fairfield
6564-M90968	CT	Fairfield
6565-M89954	CT	Fairfield
6566-M91079	CT	Fairfield
6568-M90825	CT	Fairfield
6569-M90660	CT	Fairfield
6571-M91189	CT	Fairfield
6572-M90777	CT	Fairfield
6573-M90131	CT	Fairfield
6574-M89802	CT	Fairfield
6576-M90128	CT	Fairfield
6577-M89995	CT	Fairfield
6582-M90016	CT	Fairfield
6585-X85709	WA	Pierce
6586-M90054	CT	Fairfield
6587-M89818	CT	Fairfield
6589-X85666	WA	Pierce
6590-M89701	CT	Fairfield
6591-X85697	WA	Pierce
6592-M89869	CT	Fairfield
6594-M90178	CT	Fairfield
6596-M89433	WA	Pierce
6601-X85698	WA	Pierce
6603-M89747	CT	Fairfield
6605-X85701	WA	Pierce
6615-H17425	WA	Snohomish
6663-S35237	WA	King
6671-S35278	WA	Snohomish
6684-S33698	CT	Fairfield
6688-S36528	WA	King
6691-S33886	CT	Fairfield
6692-S34136	CT	Fairfield
6698-S36523	WA	King
6701-S33695	WA	King
6706-S36543	WA	King
6709-S33796	CT	Fairfield
6716-S36507	WA	King
6718-S35052	WA	King
6722-S31941	WA	King
6750-F31221	WA	King
6758-F26928	CT	Fairfield
6762-F25323	WA	King
6765-F29911	WA	King
6767-F29717	WA	King
6780-F27494	CT	Fairfield
6790-F27854	CT	Fairfield
6806-F27375	WA	King
6807-F27569	CT	Fairfield
6817-F27171	WA	King
6818-F28855	WA	King
6820-F29886	WA	King
6822-F29150	WA	King
6971-M84036	WA	King
6976-M85626	WA	Skagit
6980-M85614	WA	Pierce
6985-M85629	WA	Skagit
6990-M83003	WA	King
7006-M94105	WA	King
7007-M94108	WA	King
7011-M92575	WA	King
7012-M93059	WA	King
7013-M94280	WA	King
7016-M94410	WA	King
7022-M94136	WA	King
7040-M94341	WA	Snohomish
7070-M10274	CT	Fairfield
7093-X90165	WA	Snohomish
7106-X87640	WA	King
7115-X88714	WA	King
7128-S36710	WA	Pierce
7142-X87759	WA	King
7158-S36216	WA	King
7160-X87788	WA	King
7164-S36778	WA	Pierce
7166-M12960	WA	King
7167-M15139	no container ID	no container ID
7178-W79924	WA	King
7187-M17243	no container ID	no container ID
7188-M17359	WA	King
7196-M17335	no container ID	no container ID
7204-M17680	no container ID	no container ID
7214-M17849	no container ID	no container ID
7220-M18405	no container ID	no container ID
7227-M16900	no container ID	no container ID
7228-M17266	no container ID	no container ID
7230-M17390	no container ID	no container ID
7231-M18440	no container ID	no container ID
7235-X90429	WA	King
7236-F30946	WA	King
7237-M16846	WA	King
7242-T15053	WA	King
7257-T15181	CT	Fairfield
7260-T15308	CT	Fairfield
7265-T15445	CT	Fairfield
7266-T15454	CT	Fairfield
7270-T15558	CT	Fairfield
7281-T16232	CT	Fairfield
7283-T16321	ID	Ada
7285-T16412	CT	Fairfield
7290-T16756	CT	Fairfield
7291-T16938	ID	Ada
7306-T17495	ID	Twin Falls
7308-T18532	ID	Ada
7399-T21388	WA	King
7417-T23255	no container ID	no container ID
7424-T24252	no container ID	no container ID
7428-T27848	no container ID	no container ID
7434-T25369	no container ID	no container ID
7435-T25663	no container ID	no container ID
7449-T28188	no container ID	no container ID
7455-W87675	no container ID	no container ID
7473-T26669	no container ID	no container ID
7670-S40755	WA	King
7675-S39888	WA	King
7677-S40549	WA	King
7745-M20657	WA	King
7756-M21604	no container ID	no container ID
7763-X14266	WA	King
7764-X14270	WA	King
7770-M23604	no container ID	no container ID
7776-M26145	WA	King
7777-M26345	WA	King
7781-M26557	no container ID	no container ID
7794-M27332	no container ID	no container ID
7882-T32447	WA	King
8008-H33061	WA	King
8012-H30233	WA	King
8046-F45160	WA	King
8065-F46422	WA	King
808-S93838	WA	King
811-X68302	WA	King
8146-S45383	WA	King
8150-S45944	WA	King
8158-S46276	WA	King
8165-S46914	WA	King
8317-M34217	WA	King
8330-M36072	WA	King
8370-T51858	WA	Pierce
8418-F61468	WA	King
8421-F51456	WA	King
8422-F60381	WA	King
8423-F60087	WA	King
8431-F51461	WA	King
8437-H49178	WA	Pierce
8510-M45753	WA	King
8511-M44778	WA	King
8518-M48634	WA	King
8526-M50136	WA	King
8527-M49678	WA	King
8550-T56257	WA	King
8636-W35030	WA	King
8638-W37133	WA	King
8686-W36234	WA	King
8694-W37510	WA	King
8698-W36809	WA	King
8800-T61603	WA	King
8803-H59185	WA	King
8813-H52350	WA	King
8824-F64586	WA	King
8831-H57717	WA	King
8845-F72695	WA	King
8851-F73487	WA	King
8860-S60393	WA	King
8872-S62450	WA	Pierce
8873-S60206	WA	King
8876-S62974	WA	King
9014-T70691	WA	King
9016-T69186	WA	King
9018-T66695	WA	King
9032-X30708	WA	King
9054-M59630	WA	King
9068-M58360	WA	King
9069-M60238	WA	King
9190-S65580	WA	Yakima
9195-F80026	WA	Okanogan
9210-H65217	WA	King
9214-H72318	WA	King
9227-H73708	WA	Pierce
9228-H73710	WA	Pierce
9229-H73769	WA	King
9230-H73657	WA	King
9233-F78325	WA	King
9235-H65151	WA	King
9244-F84816	WA	King
9266-F85521	WA	King
9299-H65890	WA	King
9301-F86264	WA	King
9308-F80435	WA	King
9333-H73862	WA	King
9338-H73832	WA	King
9339-H73863	WA	King
9346-S68175	OR	Deschutes
9352-S66533	WA	King
9361-F87016	WA	Pierce
9362-F86926	WA	Pierce
9390-S70475	WA	Pierce
9407-X36266	WA	King
9422-M68120	WA	King
9439-M74658	WA	King
9500-M75983	WA	King
9504-M74532	WA	Chelan
9520-M77128	WA	Pierce
9532-T85758	WA	Chelan
9533-T85761	WA	Chelan
9551-T88771	WA	Pierce
9553-W57223	WA	Yakima
9568-W61763	WA	King
9569-W58458	WA	King
9578-W65570	WA	King
9579-H67417	WA	King
9580-W63408	WA	King
9600-F90274	WA	King
966-X68766	WA	Snohomish
970-S11921	CT	Fairfield
9755-M81935	WA	Chelan
9798-X43765	WA	Pierce
9819-T16757	WA	King
