strain,date,state,county,country
24935-T1059406,8/11/2020,WA,Pierce,USA
24937-M1060325,8/10/2020,WA,Spokane,USA
24941-T1059401,8/11/2020,WA,Pierce,USA
24943-W1068246,8/12/2020,WA,Thurston,USA
24946-T1059089,8/11/2020,WA,Pierce,USA
24954-H1065091,8/13/2020,WA,King,USA
24958-L1067253,8/11/2020,WA,King,USA
2526-M80234,3/30/2020,WA,King,USA
2532-M80025,3/30/2020,WA,King,USA
2540-F10609,3/30/2020,WA,King,USA
2541-M80121,3/30/2020,WA,King,USA
2551-M80207,3/30/2020,WA,King,USA
2565-M79182,3/30/2020,WA,King,USA
2566-M79378,3/30/2020,WA,King,USA
2572-M77792,3/28/2020,WA,Kitsap,USA
2595-X81015,3/29/2020,WA,Pierce,USA
2599-X81030,3/29/2020,WA,Pierce,USA
2603-X81051,3/29/2020,WA,Pierce,USA
2606-M80279,3/30/2020,WA,King,USA
2608-X81063,3/29/2020,WA,Snohomish,USA
2609-X81068,3/29/2020,WA,Snohomish,USA
2618-M80245,3/30/2020,WA,King,USA
26488-M1093875,8/31/2020,WA,King,USA
26489-T1102502,9/1/2020,WA,King,USA
26490-T1097680,9/1/2020,WA,King,USA
26491-M1101110,9/1/2020,WA,King,USA
26493-M1103606,8/31/2020,WA,King,USA
26495-T1099221,9/1/2020,WA,King,USA
2651-M81778,3/29/2020,WA,Kitsap,USA
2663-X81111,3/29/2020,WA,Kitsap,USA
2665-M82168,3/30/2020,WA,King,USA
267-T51581,3/9/2020,WA,King,USA
2670-M82290,3/30/2020,WA,King,USA
2674-M82387,3/27/2020,CT,Fairfield,USA
2676-M82456,3/28/2020,CT,Fairfield,USA
2679-W15112,4/22/2020,WA,King,USA
26846-T1103302,9/1/2020,WA,King,USA
26847-T1096502,9/1/2020,WA,King,USA
26848-T1096678,9/1/2020,WA,King,USA
26849-T1093743,9/1/2020,WA,King,USA
26850-T1095974,9/1/2020,WA,King,USA
26851-T1096167,9/1/2020,WA,King,USA
26852-W1103656,9/2/2020,WA,King,USA
26853-W1102635,9/2/2020,WA,King,USA
26854-W1102620,9/2/2020,WA,King,USA
26855-T1096777,9/1/2020,WA,King,USA
26856-T1096088,9/1/2020,WA,King,USA
26857-T1102500,9/1/2020,WA,King,USA
26858-T1097037,9/1/2020,WA,King,USA
26859-T1097101,9/1/2020,WA,King,USA
26860-T1095855,9/1/2020,WA,King,USA
26861-T1097814,9/1/2020,WA,King,USA
26862-T1097080,9/1/2020,WA,King,USA
26863-T1097708,9/1/2020,WA,King,USA
26864-H1110645,9/3/2020,WA,King,USA
26865-W1112543,9/2/2020,WA,King,USA
26866-W1102693,9/2/2020,WA,King,USA
26867-W1106363,9/2/2020,WA,King,USA
26868-W1103184,9/2/2020,WA,King,USA
26869-M1097280,9/1/2020,WA,King,USA
2700-W17634,4/22/2020,WA,King,USA
27030-M1108936,9/7/2020,WA,King,USA
27031-M1107894,9/6/2020,WA,Pierce,USA
27032-M1107832,9/6/2020,WA,Pierce,USA
27033-M1107845,9/6/2020,WA,Pierce,USA
27034-M1107810,9/7/2020,WA,King,USA
27035-X1058152,9/6/2020,WA,King,USA
27038-X1056870,9/6/2020,WA,King,USA
27042-F1119599,9/4/2020,WA,King,USA
27043-F1119598,9/4/2020,WA,King,USA
27044-F1119600,9/4/2020,WA,King,USA
27045-F1118227,9/4/2020,WA,King,USA
27046-F1118666,9/4/2020,WA,Grays Harbor,USA
2725-M84645,3/30/2020,WA,King,USA
2729-W14390,4/22/2020,WA,King,USA
2730-M84722,3/30/2020,WA,King,USA
2736-W19168,4/22/2020,WA,King,USA
2737-W18886,4/22/2020,WA,King,USA
2743-W91919,4/15/2020,WA,King,USA
2744-W90111,4/15/2020,WA,King,USA
27496-H1116168,9/4/2020,WA,King,USA
27497-H1114264,9/3/2020,WA,King,USA
27498-H1113205,9/3/2020,WA,King,USA
27499-W1107181,9/3/2020,WA,King,USA
27500-H1114771,9/3/2020,WA,King,USA
27501-H1122733,9/3/2020,WA,King,USA
27502-M1110296,9/7/2020,WA,King,USA
2767-F13106,3/27/2020,WA,Pierce,USA
2778-S23252,3/28/2020,WA,King,USA
2780-W93033,4/15/2020,WA,King,USA
2781-X79419,3/29/2020,WA,King,USA
2795-W90941,4/15/2020,WA,King,USA
2814-W91499,4/15/2020,no container ID,no container ID,USA
2816-F13114,3/27/2020,WA,Pierce,USA
2818-F13117,3/27/2020,WA,Pierce,USA
2820-W93927,4/15/2020,no container ID,no container ID,USA
2834-W91475,4/15/2020,no container ID,no container ID,USA
2837-W91300,4/15/2020,no container ID,no container ID,USA
2849-W91462,4/15/2020,no container ID,no container ID,USA
2862-X78957,3/29/2020,WA,King,USA
2868-W91437,4/15/2020,no container ID,no container ID,USA
2872-X79239,3/29/2020,WA,King,USA
2877-X79382,3/29/2020,WA,King,USA
2890-W94343,4/15/2020,no container ID,no container ID,USA
2910-X80136,3/29/2020,WA,Snohomish,USA
2916-X80356,3/29/2020,WA,King,USA
2929-X80903,3/29/2020,WA,Skagit,USA
2937-X78097,3/29/2020,WA,King,USA
2940-S22720,3/28/2020,WA,King,USA
2943-H83384,3/26/2020,WA,Pierce,USA
2960-H83336,3/26/2020,WA,Pierce,USA
2961-H83369,3/26/2020,WA,Pierce,USA
2964-H83388,3/26/2020,WA,Pierce,USA
2971-F93619,3/27/2020,WA,Snohomish,USA
2976-H83506,3/26/2020,WA,King,USA
2980-F94447,3/27/2020,WA,Snohomish,USA
2982-F94710,3/27/2020,WA,King,USA
2983-F94773,3/27/2020,WA,Snohomish,USA
2986-F94828,3/27/2020,WA,King,USA
2987-F10027,3/27/2020,WA,Spokane,USA
29895-X1085810,10/4/2020,WA,King,USA
29896-F1168406,10/2/2020,WA,King,USA
29897-S1102782,10/3/2020,WA,King,USA
29898-S1104696,10/4/2020,WA,King,USA
29899-F1175256,10/2/2020,WA,King,USA
29900-S1103623,10/3/2020,WA,King,USA
2997-F11282,3/27/2020,WA,King,USA
3001-F11796,3/27/2020,WA,Snohomish,USA
3002-F11797,3/27/2020,WA,Snohomish,USA
3007-F11889,3/27/2020,WA,Snohomish,USA
3008-F12014,3/27/2020,WA,King,USA
3009-F12040,3/27/2020,WA,King,USA
3012-F12088,3/27/2020,WA,King,USA
3024-F12754,3/26/2020,WA,King,USA
3026-F12761,3/26/2020,WA,King,USA
3030-F12782,3/26/2020,WA,Island,USA
3036-F12833,3/25/2020,ID,Ada,USA
3041-F12864,3/27/2020,WA,Island,USA
3046-F12867,3/27/2020,WA,Island,USA
3048-F12869,3/27/2020,WA,Island,USA
3052-S20126,3/27/2020,WA,Island,USA
3060-S20199,3/27/2020,WA,Island,USA
3078-S20916,3/28/2020,WA,King,USA
3094-S21455,3/27/2020,CT,Fairfield,USA
3100-S21488,3/27/2020,CT,Fairfield,USA
3108-S21559,3/27/2020,CT,Fairfield,USA
3109-S21557,3/27/2020,CT,Fairfield,USA
3114-S21604,3/27/2020,CT,Fairfield,USA
3118-S21632,3/27/2020,CT,Fairfield,USA
3119-S21636,3/26/2020,CT,Fairfield,USA
3120-S21647,3/27/2020,CT,Fairfield,USA
3123-S21660,3/27/2020,CT,Fairfield,USA
3125-S21668,3/27/2020,CT,Fairfield,USA
3127-S21696,3/27/2020,CT,Fairfield,USA
3129-S21729,3/27/2020,CT,Fairfield,USA
3140-S21832,3/26/2020,CT,Fairfield,USA
3141-S21834,3/28/2020,WA,King,USA
3146-H24927,4/16/2020,no container ID,no container ID,USA
3158-S22580,3/28/2020,WA,King,USA
3167-S22625,3/28/2020,WA,Snohomish,USA
3172-S22872,3/26/2020,ID,Ada,USA
3177-S22996,3/28/2020,WA,Snohomish,USA
3183-S22994,3/26/2020,ID,Ada,USA
3186-S23021,3/28/2020,WA,Snohomish,USA
3188-S23087,3/27/2020,WA,Clark,USA
3202-S23329,3/26/2020,Unknown,Unknown,USA
3247-S24801,3/28/2020,WA,Skagit,USA
3259-F94984,3/27/2020,WA,King,USA
3265-F94306,3/27/2020,WA,King,USA
3269-F94625,3/27/2020,WA,King,USA
3336-H83071,3/26/2020,WA,King,USA
3369-F92873,3/27/2020,WA,King,USA
3413-F10594,3/26/2020,WA,Adams,USA
3416-F10973,3/25/2020,ID,Ada,USA
3417-F11020,3/26/2020,CT,Fairfield,USA
3425-F11192,3/25/2020,CT,Fairfield,USA
3450-F11502,3/26/2020,CT,Fairfield,USA
3465-F11577,3/26/2020,CT,Fairfield,USA
3470-F11615,3/26/2020,CT,Fairfield,USA
3493-F12535,3/27/2020,WA,King,USA
3497-F12573,3/27/2020,WA,King,USA
3500-F12618,3/27/2020,WA,King,USA
3515-H80224,3/26/2020,WA,King,USA
3519-H74342,3/26/2020,WA,King,USA
3521-H80961,3/26/2020,WA,King,USA
3529-H75738,3/26/2020,WA,King,USA
3539-H79056,3/26/2020,WA,King,USA
3560-W61610,3/25/2020,WA,Snohomish,USA
3570-T83322,3/24/2020,WA,Pierce,USA
3584-W65945,3/25/2020,WA,Snohomish,USA
3592-T43455,4/28/2020,WA,King,USA
3607-W66823,3/25/2020,WA,Island,USA
3611-W66830,3/25/2020,WA,Pierce,USA
3613-T43253,4/28/2020,WA,King,USA
3616-T44345,4/28/2020,WA,King,USA
3630-W21797,4/29/2020,WA,Pierce,USA
3632-W66969,3/25/2020,WA,Pierce,USA
3634-H77398,3/25/2020,WA,Skagit,USA
3662-H79132,3/25/2020,WA,Skagit,USA
3685-M39131,4/27/2020,WA,Pierce,USA
3692-H81024,3/25/2020,CT,Fairfield,USA
3783-W23111,4/29/2020,WA,King,USA
3809-H81303,3/26/2020,WA,King,USA
3810-H81039,3/26/2020,WA,King,USA
3812-H83101,3/26/2020,WA,King,USA
3814-H83086,3/26/2020,WA,King,USA
3815-F92487,3/27/2020,WA,King,USA
3816-F92639,3/26/2020,WA,King,USA
3826-H81516,3/26/2020,WA,Snohomish,USA
3827-H82982,3/26/2020,WA,King,USA
3828-W67119,3/25/2020,WA,Pierce,USA
3829-W66981,3/25/2020,WA,Pierce,USA
3832-F92567,3/26/2020,WA,King,USA
3833-H81049,3/26/2020,WA,King,USA
3834-H81618,3/26/2020,WA,Snohomish,USA
3838-F90802,3/26/2020,WA,Pierce,USA
3839-H82123,3/26/2020,WA,Snohomish,USA
3841-H81075,3/26/2020,WA,King,USA
3843-F90577,3/27/2020,WA,King,USA
3844-W67147,3/25/2020,WA,Pierce,USA
3845-H81233,3/25/2020,CT,Fairfield,USA
3849-H80932,3/26/2020,WA,King,USA
3850-H81079,3/26/2020,WA,King,USA
3853-H82867,3/27/2020,WA,King,USA
3855-H81823,3/26/2020,WA,Snohomish,USA
3858-H80088,3/26/2020,WA,King,USA
3862-H79351,3/26/2020,WA,King,USA
3868-H81066,3/25/2020,WA,King,USA
3871-H82935,3/26/2020,WA,Pierce,USA
3874-H82519,3/24/2020,ID,Kootenai,USA
3878-H81490,3/26/2020,WA,King,USA
3880-H79276,3/26/2020,WA,King,USA
3881-W67112,3/25/2020,WA,Pierce,USA
3883-F93162,3/27/2020,WA,King,USA
3889-F11611,3/27/2020,WA,King,USA
3892-F10685,3/26/2020,ID,Ada,USA
3895-F10987,3/27/2020,WA,King,USA
3899-F92993,3/27/2020,WA,King,USA
3900-F10885,3/27/2020,WA,King,USA
3903-F12031,3/27/2020,WA,King,USA
3904-F11491,3/27/2020,WA,King,USA
3908-F11503,3/27/2020,WA,King,USA
3911-F11629,3/27/2020,WA,Snohomish,USA
3917-F11341,3/27/2020,WA,King,USA
3918-F11351,3/27/2020,WA,King,USA
3923-F12562,3/27/2020,WA,Skagit,USA
393-W41899,3/11/2020,WA,King,USA
3932-F12772,3/27/2020,WA,King,USA
3935-F12551,3/27/2020,WA,Skagit,USA
3939-S20142,3/27/2020,WA,King,USA
3940-S20127,3/27/2020,WA,Snohomish,USA
3941-S20735,3/27/2020,WA,King,USA
3942-S20171,3/27/2020,WA,King,USA
3946-S20307,3/27/2020,WA,King,USA
3949-S21045,3/28/2020,WA,King,USA
3950-S20785,3/27/2020,WA,Whatcom,USA
3951-S20999,3/28/2020,WA,King,USA
3954-S21189,3/27/2020,WA,King,USA
3959-S20645,3/27/2020,WA,Whatcom,USA
3963-M85263,3/30/2020,WA,King,USA
3964-T90437,3/31/2020,WA,King,USA
3969-T91259,3/31/2020,WA,Pierce,USA
3972-X80051,3/29/2020,Unknown,Unknown,USA
3973-X79867,3/29/2020,WA,King,USA
3975-X79533,3/29/2020,WA,King,USA
3979-X78434,3/29/2020,WA,King,USA
3982-X79282,3/29/2020,WA,King,USA
3983-X79316,3/29/2020,WA,King,USA
3985-X78255,3/29/2020,WA,King,USA
3988-X77869,3/29/2020,WA,King,USA
3989-S25004,3/28/2020,WA,Snohomish,USA
3990-X78961,3/29/2020,WA,Snohomish,USA
3992-X80301,3/29/2020,WA,King,USA
3994-S25053,3/28/2020,WA,King,USA
3996-S25050,3/28/2020,WA,King,USA
3997-X80287,3/29/2020,WA,King,USA
4004-S25020,3/28/2020,WA,Snohomish,USA
4009-X80738,3/29/2020,WA,Snohomish,USA
4011-X80842,3/29/2020,WA,King,USA
4014-S24988,3/28/2020,WA,Pierce,USA
4015-S24912,3/28/2020,WA,Pierce,USA
4019-M77846,3/29/2020,WA,King,USA
4021-X80959,3/29/2020,WA,Skagit,USA
4024-M77806,3/29/2020,WA,King,USA
4025-M77794,3/29/2020,WA,King,USA
4026-X80949,3/29/2020,WA,King,USA
4031-X80508,3/29/2020,WA,King,USA
4032-X77912,3/29/2020,WA,King,USA
4035-S24914,3/28/2020,WA,Pierce,USA
4038-M78339,3/29/2020,WA,Pierce,USA
4039-X80100,3/29/2020,WA,Spokane,USA
4041-M77795,3/29/2020,WA,King,USA
4046-S24968,3/28/2020,WA,Pierce,USA
4051-W72127,4/1/2020,WA,King,USA
4052-W75706,4/1/2020,WA,King,USA
4058-W74559,4/1/2020,WA,King,USA
4061-W75495,4/1/2020,WA,King,USA
4065-W74919,4/1/2020,WA,King,USA
4067-W74629,4/1/2020,WA,King,USA
4068-W74491,4/1/2020,WA,King,USA
4082-T88604,4/1/2020,WA,King,USA
4089-W70190,4/1/2020,WA,King,USA
4097-W70012,4/1/2020,WA,King,USA
4100-T91955,3/29/2020,ID,Ada,USA
4105-T93126,3/31/2020,WA,King,USA
4109-T92875,3/31/2020,WA,Skagit,USA
4111-T92847,3/31/2020,WA,Skagit,USA
4114-T92712,3/31/2020,WA,King,USA
4117-T92904,3/31/2020,WA,King,USA
4118-T92906,3/31/2020,WA,King,USA
4127-W68505,3/31/2020,WA,King,USA
4130-T92908,3/31/2020,WA,King,USA
4180-W70075,4/1/2020,WA,King,USA
4188-T87076,3/31/2020,WA,King,USA
4197-T92841,3/31/2020,WA,Snohomish,USA
4210-T90070,3/31/2020,WA,King,USA
4213-T90095,3/31/2020,WA,King,USA
4217-T91294,3/31/2020,WA,King,USA
4221-T91993,3/31/2020,WA,King,USA
4224-T92114,3/31/2020,WA,King,USA
4225-T92165,3/31/2020,WA,King,USA
4226-T92175,3/31/2020,WA,King,USA
4227-T92306,3/31/2020,WA,Snohomish,USA
4228-T92391,3/31/2020,WA,King,USA
4237-W72162,3/30/2020,CT,Fairfield,USA
4238-W72190,3/30/2020,CT,Fairfield,USA
4239-W72198,3/30/2020,ID,Ada,USA
4243-W72343,4/1/2020,WA,King,USA
4244-W72378,3/31/2020,CT,Fairfield,USA
4250-W72747,3/30/2020,ID,Ada,USA
4251-W72881,3/31/2020,CT,Fairfield,USA
4254-W73922,3/30/2020,ID,Ada,USA
4255-W73933,3/30/2020,ID,Ada,USA
4266-W69553,3/30/2020,ID,Twin Falls,USA
4270-T92998,3/31/2020,WA,Pierce,USA
4279-T93067,3/31/2020,WA,Pierce,USA
4281-T93077,3/31/2020,WA,Pierce,USA
4289-T93112,3/31/2020,WA,Pierce,USA
4290-T93113,3/31/2020,WA,Pierce,USA
4291-T93114,3/31/2020,WA,Pierce,USA
4292-T93115,3/31/2020,WA,Pierce,USA
4296-T93131,3/31/2020,WA,Pierce,USA
4300-W70781,3/31/2020,OR,Deschutes,USA
4303-T93156,3/31/2020,WA,Pierce,USA
4307-W71430,3/31/2020,ID,Ada,USA
4308-W71467,3/30/2020,ID,Ada,USA
4315-T90617,3/31/2020,WA,King,USA
4316-T90349,3/31/2020,WA,King,USA
4317-S22932,3/31/2020,WA,King,USA
4318-T87888,3/31/2020,WA,San Juan,USA
4324-M85971,3/30/2020,WA,King,USA
4325-T85880,3/31/2020,WA,King,USA
4326-T90370,3/31/2020,WA,King,USA
4329-X81187,3/29/2020,WA,Pierce,USA
4330-T89177,3/31/2020,WA,King,USA
4331-M86056,3/30/2020,WA,Pierce,USA
4335-M85511,3/30/2020,WA,King,USA
4337-M85939,3/30/2020,WA,King,USA
4338-M85941,3/30/2020,WA,King,USA
4340-M85979,3/30/2020,WA,King,USA
4341-T86862,3/30/2020,CT,Fairfield,USA
4343-T86956,3/30/2020,CT,Fairfield,USA
4344-T86991,3/30/2020,CT,Fairfield,USA
4345-T87029,3/30/2020,CT,Fairfield,USA
4346-T87052,3/30/2020,CT,Fairfield,USA
4347-T87078,3/30/2020,CT,Fairfield,USA
4348-T87129,3/30/2020,CT,Fairfield,USA
4354-T87379,3/27/2020,ID,Ada,USA
4355-T87398,3/27/2020,ID,Ada,USA
4357-T87416,3/27/2020,ID,Ada,USA
4366-T88157,3/30/2020,CT,Fairfield,USA
4370-T88217,3/31/2020,WA,King,USA
4372-T88241,3/30/2020,CT,Fairfield,USA
4375-T88308,3/28/2020,ID,Ada,USA
4376-T88352,3/27/2020,ID,Ada,USA
4380-T88725,3/27/2020,ID,Ada,USA
4383-T88874,3/29/2020,ID,Twin Falls,USA
4388-T89140,3/29/2020,OR,Deschutes,USA
4396-T89252,3/28/2020,ID,Twin Falls,USA
4400-T89291,3/28/2020,ID,Ada,USA
4402-T89419,3/29/2020,ID,Ada,USA
4404-M86092,3/30/2020,WA,Pierce,USA
4406-T89578,3/31/2020,WA,King,USA
4407-T90457,3/31/2020,WA,King,USA
4409-T89625,3/30/2020,OR,Deschutes,USA
4410-T89672,3/29/2020,OR,Deschutes,USA
4413-T89822,3/31/2020,WA,King,USA
4414-T89846,3/31/2020,WA,King,USA
4417-T89996,3/28/2020,ID,Ada,USA
4418-T90043,3/28/2020,ID,Ada,USA
4424-T90459,3/29/2020,ID,Ada,USA
4427-T90625,3/30/2020,ID,Ada,USA
4433-T90805,3/27/2020,ID,Ada,USA
4434-S53892,5/2/2020,WA,King,USA
4448-T91225,3/29/2020,ID,Ada,USA
4461-T91486,3/29/2020,ID,Ada,USA
4462-T91496,3/29/2020,ID,Ada,USA
4486-T92132,3/29/2020,ID,Ada,USA
4499-T90317,3/31/2020,WA,King,USA
4500-T90510,3/31/2020,WA,King,USA
4538-X79831,3/29/2020,WA,King,USA
4541-X78049,3/28/2020,WA,Pierce,USA
4543-X78827,3/28/2020,WA,Pierce,USA
4545-X79544,3/29/2020,WA,King,USA
4546-T90923,3/31/2020,WA,Pierce,USA
4547-T91415,3/29/2020,ID,Ada,USA
4549-T91160,3/31/2020,WA,Skagit,USA
4550-T91006,3/29/2020,ID,Ada,USA
4552-T91080,3/29/2020,ID,Ada,USA
4555-T90928,3/31/2020,WA,Skagit,USA
4562-T85427,3/30/2020,WA,Skagit,USA
4563-M84999,3/30/2020,WA,Snohomish,USA
4564-T85435,3/30/2020,WA,Skagit,USA
4565-M82407,3/30/2020,WA,Snohomish,USA
4568-X81153,3/29/2020,WA,King,USA
4569-T92728,3/31/2020,WA,Snohomish,USA
4570-T86290,3/31/2020,WA,King,USA
4572-T86839,3/31/2020,WA,King,USA
4578-T92899,3/31/2020,WA,King,USA
4579-T91084,3/31/2020,WA,King,USA
4580-T90357,3/31/2020,WA,King,USA
4581-T92711,3/31/2020,WA,Snohomish,USA
4582-T92425,3/31/2020,WA,King,USA
4583-W68410,3/31/2020,WA,King,USA
4585-T91448,3/31/2020,WA,King,USA
4588-T90451,3/31/2020,WA,King,USA
4589-W68497,4/1/2020,WA,King,USA
4591-T90950,3/31/2020,WA,King,USA
4592-T92364,3/31/2020,WA,King,USA
4593-T91658,3/31/2020,WA,King,USA
4594-T91625,3/31/2020,WA,King,USA
4595-T92163,3/30/2020,ID,Ada,USA
4597-T91384,3/30/2020,ID,Ada,USA
4598-T91365,3/30/2020,ID,Ada,USA
4599-X81131,3/29/2020,WA,King,USA
4600-T91055,3/29/2020,ID,Ada,USA
4601-T91468,3/29/2020,ID,Ada,USA
4602-T91838,3/31/2020,WA,King,USA
4603-T91777,3/31/2020,WA,King,USA
4608-H81601,3/26/2020,WA,Island,USA
4609-H81711,3/26/2020,WA,Island,USA
4611-H82405,3/26/2020,WA,King,USA
4612-H82431,3/26/2020,WA,King,USA
4614-H76465,3/26/2020,WA,King,USA
4615-H79208,3/26/2020,WA,King,USA
4616-H79685,3/26/2020,WA,King,USA
4617-H81659,3/26/2020,WA,King,USA
4618-X77937,3/28/2020,WA,King,USA
4619-X76739,3/29/2020,WA,King,USA
4620-X77561,3/29/2020,WA,King,USA
4623-X77331,3/29/2020,WA,King,USA
4627-X78472,3/29/2020,WA,King,USA
4630-X79782,3/28/2020,WA,Skagit,USA
4632-X79126,3/28/2020,WA,King,USA
4633-X79558,3/29/2020,WA,King,USA
4640-X79847,3/29/2020,WA,King,USA
4643-M90823,4/6/2020,WA,King,USA
4646-M89088,4/6/2020,WA,King,USA
4649-M92879,4/6/2020,WA,King,USA
4657-M92080,4/6/2020,WA,King,USA
4659-M92830,4/6/2020,WA,King,USA
4660-M92682,4/6/2020,WA,King,USA
4663-M92760,4/6/2020,WA,King,USA
4664-M93420,4/6/2020,WA,King,USA
4676-M87960,4/5/2020,WA,Pierce,USA
4677-M87886,4/5/2020,WA,Pierce,USA
4678-M87933,4/5/2020,WA,King,USA
4682-M89348,4/6/2020,WA,King,USA
4684-M89275,4/6/2020,WA,King,USA
4688-F17184,4/6/2020,WA,King,USA
4690-M90283,4/6/2020,WA,King,USA
4698-M90228,4/6/2020,WA,King,USA
4703-M78246,3/29/2020,WA,King,USA
